time,value
2018-11-18 00:00:00,37
2018-11-18 02:00:00,37
2018-11-18 04:00:00,37
2018-11-18 06:00:00,37
2018-11-18 08:00:00,37
2018-11-18 10:00:00,37
2018-11-18 12:00:00,38
2018-11-18 14:00:00,37
2018-11-18 16:00:00,37
2018-11-18 18:00:00,37
2018-11-18 20:00:00,37
2018-11-18 22:00:00,38
2018-11-19 00:00:00,37
2018-11-19 02:00:00,38
2018-11-19 04:00:00,37
2018-11-19 06:00:00,37
2018-11-19 08:00:00,37
2018-11-19 10:00:00,37
2018-11-19 12:00:00,37
2018-11-19 14:00:00,37
2018-11-19 16:00:00,38
2018-11-19 18:00:00,37
2018-11-19 20:00:00,38
2018-11-19 22:00:00,38
2018-11-20 00:00:00,37
2018-11-20 02:00:00,37
2018-11-20 04:00:00,37
2018-11-20 06:00:00,38
2018-11-20 08:00:00,37
2018-11-20 10:00:00,37
2018-11-20 12:00:00,37
2018-11-20 14:00:00,37
2018-11-20 16:00:00,38
2018-11-20 18:00:00,38
2018-11-20 20:00:00,37
2018-11-20 22:00:00,37
2018-11-21 00:00:00,38
2018-11-21 02:00:00,37
2018-11-21 04:00:00,37
2018-11-21 06:00:00,37
2018-11-21 08:00:00,37
2018-11-21 10:00:00,37
2018-11-21 12:00:00,37
2018-11-21 14:00:00,37
2018-11-21 16:00:00,38
2018-11-21 18:00:00,37
2018-11-21 20:00:00,37
2018-11-21 22:00:00,37
2018-11-22 00:00:00,38
2018-11-22 02:00:00,38
2018-11-22 04:00:00,37
2018-11-22 06:00:00,38
2018-11-22 08:00:00,38
2018-11-22 10:00:00,37
2018-11-22 12:00:00,37
2018-11-22 14:00:00,38
2018-11-22 16:00:00,38
2018-11-22 18:00:00,37
2018-11-22 20:00:00,38
2018-11-22 22:00:00,37
2018-11-23 00:00:00,37
2018-11-23 02:00:00,37
2018-11-23 04:00:00,38
2018-11-23 06:00:00,38
2018-11-23 08:00:00,38
2018-11-23 10:00:00,37
2018-11-23 12:00:00,38
2018-11-23 14:00:00,38
2018-11-23 16:00:00,38
2018-11-23 18:00:00,37
2018-11-23 20:00:00,38
2018-11-23 22:00:00,37
2018-11-24 00:00:00,38
2018-11-24 02:00:00,38
2018-11-24 04:00:00,38
2018-11-24 06:00:00,37
2018-11-24 08:00:00,37
2018-11-24 10:00:00,38
2018-11-24 12:00:00,38
2018-11-24 14:00:00,37
2018-11-24 16:00:00,37
2018-11-24 18:00:00,37
2018-11-24 20:00:00,37
2018-11-24 22:00:00,38
2018-11-25 00:00:00,38
2018-11-25 02:00:00,37
2018-11-25 04:00:00,37
2018-11-25 06:00:00,38
2018-11-25 08:00:00,37
2018-11-25 10:00:00,37
2018-11-25 12:00:00,37
2018-11-25 14:00:00,38
